Cites	Authors	Title	Year	Source	Publisher	Abstract	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	FullTextURL	Abstract - Relevant?	Unique?	TTCT? (Does the study include new TTCT data?)	Lefties? (Were at least 3 lefties given the TTCT?)	Stats - can get ES for left vs. right?	Text - Relevant?	Details	Request?
22	N Barrantes-Vidal	Creativity and the spectrum of affective and schizophrenic psychoses.	2014		psycnet.apa.org	… Creativity and psychopathology: Higher rates of psychosis proneness and nonright-handedness among creative artists compared to same age and gender peers. Journal of Nervous …	https://psycnet.apa.org/record/2014-17911-009	https://scholar.google.com/scholar?cites=8440525023484608620&as_sdt=2005&sciodt=2007&hl=en	95	2023-05-23 11:33:52									22	2.44	22	1	9		1	1	0	0		0		
5	D Sadana, J Rajeswaran, S Jain…	The neuropsychology of creativity: A profile of Indian artists.	2017	Acta …	researchgate.net	The present study aims at comparing the cognitive profile of creative artists and non-creative participants. We assessed creativity correlates by taking a sample of professionally creative …	https://www.researchgate.net/profile/Rajeswaran-Jamuna/publication/318777772_The_neuropsychology_of_creativity_A_profile_of_Indian_artists/links/598d849e0f7e9b07d22a61ea/The-neuropsychology-of-creativity-A-profile-of-Indian-artists.pdf	https://scholar.google.com/scholar?cites=1839930575298037568&as_sdt=2005&sciodt=2007&hl=en	139	2023-05-23 11:33:52	PDF								5	0.83	1	4	6	https://www.researchgate.net/profile/Rajeswaran-Jamuna/publication/318777772_The_neuropsychology_of_creativity_A_profile_of_Indian_artists/links/598d849e0f7e9b07d22a61ea/The-neuropsychology-of-creativity-A-profile-of-Indian-artists.pdf	1	1	0	0		0		
0	CI Hagan	The creative writer: an examination of early childhood environment, psychopathology, and personality traits	2000		mds.marshall.edu	The early childhood environment, the pathology, and the personality traits of non-eminent creative writers were compared to those of non-creative artists. The stated issues were …	https://mds.marshall.edu/etd/1634/		166	2023-05-23 11:33:52									0	0	0	1	23	https://mds.marshall.edu/cgi/viewcontent.cgi?article=2639&context=etd	1	1	0	0		0		
1	CL Wu, HC Chen	Visual-Spatial and Verbal Remote Association: An fMRI Study	2021	Frontiers in Psychology	frontiersin.org	Although idea connections at verbal and conceptual levels have been explored by remote associates tests, the visual-spatial level is much less researched. This study investigated the …	https://www.frontiersin.org/articles/10.3389/fpsyg.2021.672997/full	https://scholar.google.com/scholar?cites=12913621218559121524&as_sdt=2005&sciodt=2007&hl=en	177	2023-05-23 11:33:52	HTML	10.3389/fpsyg.2021.672997							1	0.5	1	2	2	https://www.frontiersin.org/articles/10.3389/fpsyg.2021.672997/full	1	1	0	0		0		
1	MR Allen	The relation of childhood imaginary companions to adult creativity and personality profile	2004		search.proquest.com	This study was designed to learn about the relationship between having an imaginary friend during childhood and subsequent adult creativity. The sample for this investigation …	https://search.proquest.com/openview/b7dcfedb63edacc71b79c4b5ea5b238b/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=6192410259024579755&as_sdt=2005&sciodt=2007&hl=en	178	2023-05-23 11:33:52	BOOK								1	0.05	1	1	19	https://search.proquest.com/openview/b7dcfedb63edacc71b79c4b5ea5b238b/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
8	X Wu, RE Jung, H Zhang	Neural underpinnings of divergent production of rules in numerical analogical reasoning	2016	Biological Psychology	Elsevier	… All participants were right-handed (determined by the Handedness Test before the experiment), and had no history of neurological or psychiatric illness. The study was approved by …	https://www.sciencedirect.com/science/article/pii/S0301051116300898	https://scholar.google.com/scholar?cites=4969821994659103889&as_sdt=2005&sciodt=2007&hl=en	184	2023-05-23 11:33:52	HTML								8	1.14	3	3	7	https://www.sciencedirect.com/science/article/pii/S0301051116300898	1	1	0	0		0		
0	MCS DeSelms	A study of creativity in college foreign-language and English-as-a-second-language classes	1981		search.proquest.com	The purpose of this study was to:(1) explore the construct of creativity and its relation to foreign language learning,(2) construct a conceptual model for systematically generating creative …	https://search.proquest.com/openview/13f3c1b77ba7e3585ef769622ab24899/1?pq-origsite=gscholar&cbl=18750&diss=y		208	2023-05-23 11:33:52	BOOK								0	0	0	1	42	https://search.proquest.com/openview/13f3c1b77ba7e3585ef769622ab24899/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
2	CM Reynolds	The enhancement and diminishment of humorous creativity	1988		search.proquest.com	The present study was designed to assess the impact of direct motivational orientation manipulation on humorous creativity. 120 male introductory psychology students were asked to …	https://search.proquest.com/openview/ce5ff622e0411dd790c5dd857766603f/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=2959632176228988686&as_sdt=2005&sciodt=2007&hl=en	209	2023-05-23 11:33:52	HTML								2	0.06	2	1	35	https://search.proquest.com/openview/ce5ff622e0411dd790c5dd857766603f/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
0	PMV Gomes	Neuromodulation of the prefrontal cortex by iTBS: effects on the entrepreneurial attitude as evaluated by TAI test	2022		ubibliorum.ubi.pt	… the inclusion and exclusion criteria, one volunteer was excluded for being lefthanded. … such as Remote Associates Test (RAT) and Torrance Tests of Creativity Thinking (TTCT). These …	https://ubibliorum.ubi.pt/handle/10400.6/12880		210	2023-05-23 11:33:52									0	0	0	1	1	https://ubibliorum.ubi.pt/bitstream/10400.6/12880/1/9214_19681.pdf	1	1	0	0		0		
0	SR Furtwengler	Journal of Creativity {Development of a creativity orientation scale using EFA}	2021	Journal of Creativity	academia.edu	In a pilot study, an exploratory factor analysis using a minimum rank factor extraction method and an oblique (Promin) rotation of 30 self-report items on a proposed Creativity Orientation …	https://www.academia.edu/download/73874891/1_s2.0_S2713374521000042_main_1_.pdf		235	2023-05-23 11:33:52	PDF								0	0	0	1	2	https://www.academia.edu/download/73874891/1_s2.0_S2713374521000042_main_1_.pdf	1	1	0	0		0		
1	AL Fall	A survey on hemispheric lateralization of the human brain and pedagogical consideration in professional preparation of teachers	1984		search.proquest.com	For the first time in over two thousand years according to the literature, we now have research on education that includes new and recent findings about the brain. A review of the …	https://search.proquest.com/openview/ae94765f8ae28f7c2cbbf27e529a9998/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=1570132491522919346&as_sdt=2005&sciodt=2007&hl=en	236	2023-05-23 11:33:52	BOOK								1	0.03	1	1	39	https://search.proquest.com/openview/ae94765f8ae28f7c2cbbf27e529a9998/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
9	NV Shemyakina, ZV Nagornova	EEG “signs” of verbal creative task fulfillment with and without overcoming self-induced stereotypes	2019	Behavioral Sciences	mdpi.com	The study aimed to reveal task-related differences in story creation with and without the mental effort of overcoming self-induced stereotypes. Eighteen right-handed subjects (19.3 ± 1.1 …	https://www.mdpi.com/606180	https://scholar.google.com/scholar?cites=4032892113781174218&as_sdt=2005&sciodt=2007&hl=en	256	2023-05-23 11:33:52									9	2.25	5	2	4	https://www.mdpi.com/2076-328X/10/1/17/pdf	1	1	0	0		0		
2	TA Greenwood, LJ Chow, RC Gur, JR Kelsoe	Bipolar spectrum traits and the space between Madness and Genius: The Muse is in the Dose	2022	Journal of Psychiatric …	Elsevier	Creativity has long been associated with the bipolar spectrum, particularly among unaffected first-degree relatives and those with milder expressions of bipolar traits, suggesting that …	https://www.sciencedirect.com/science/article/pii/S0022395622003740	https://scholar.google.com/scholar?cites=16316932332047718446&as_sdt=2005&sciodt=2007&hl=en	259	2023-05-23 11:33:52	HTML								2	2	1	4	1	https://www.sciencedirect.com/science/article/pii/S0022395622003740	1	1	0	0		0		
0	N Goel	Creativity and Cognitive Functions in Paranoid Schizophrenia	2016		search.proquest.com	… Building on Guilford‘s work, Torrance (1974) developed the Torrance Tests of Creative Thinking that consists of several relatively simple verbal and figural tasks that involve divergent …	https://search.proquest.com/openview/935ea8aa5e69c171f58b16dd793d39d4/1?pq-origsite=gscholar&cbl=18750&diss=y		260	2023-05-23 11:33:52	HTML								0	0	0	1	7	https://search.proquest.com/openview/935ea8aa5e69c171f58b16dd793d39d4/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
1	EJ White	Verbal creativity, mate value, and sexual selection	2009		search.proquest.com	The present series of studies examine links between creativity and intelligence with dating and sexual behavior from an evolutionary perspective to better understand the function of …	https://search.proquest.com/openview/4b2643de98126e7ef368f640f0b3dc0e/1?pq-origsite=gscholar&cbl=18750	https://scholar.google.com/scholar?cites=18339366743822848837&as_sdt=2005&sciodt=2007&hl=en	266	2023-05-23 11:33:52	HTML								1	0.07	1	1	14	https://search.proquest.com/openview/4b2643de98126e7ef368f640f0b3dc0e/1?pq-origsite=gscholar&cbl=18750	1	1	0	0		0		
0	UJ Patel	The effects of creativity level, visual field and dominance on verbal priming	2004		search.proquest.com	… to complete the Edinburgh Handedness Inventory on paper (See Appendix D for instructions). Following the completion of the inventory, participants who had Handedness scores less …	https://search.proquest.com/openview/740aebbbd87bf75fa31d501de0bb9e25/1?pq-origsite=gscholar&cbl=18750&diss=y		271	2023-05-23 11:33:52	BOOK								0	0	0	1	19	https://search.proquest.com/openview/740aebbbd87bf75fa31d501de0bb9e25/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
0	CM Perchtold	EEG Alpha Asymmetry Correlates of Reappraisal Inventiveness and Creative Ideation/Corinna Perchtold		unipub.uni-graz.at		… As the most prominent example of hemispheric specialization is handedness and lefthanded individuals show profoundly different laterality than right-handed individuals in many cases, …	http://unipub.uni-graz.at/obvugrhs/378609		276	2023-05-23 11:33:52									0	0	0	1		https://unipub.uni-graz.at/obvugrhs/content/titleinfo/378609/full.pdf	1	1	0	0		0		
9	MF Shaughnessy	Critical thinking and higher order thinking: A current perspective	2012		researchgate.net	Independent verification should be sought for any data, advice or recommendations contained in this book. In addition, no responsibility is assumed by the publisher for any injury and/…	https://www.researchgate.net/profile/Michael-Shaughnessy-2/publication/234690811_Critical_Thinking_Attitudes_Skills_and_Ambiguity/links/5d110751a6fdcc2462a338a4/Critical-Thinking-Attitudes-Skills-and-Ambiguity	https://scholar.google.com/scholar?cites=7581210139183537308&as_sdt=2005&sciodt=2007&hl=en	277	2023-05-23 11:33:52	BOOK								9	0.82	9	1	11	https://www.researchgate.net/profile/Michael-Shaughnessy-2/publication/234690811_Critical_Thinking_Attitudes_Skills_and_Ambiguity/links/5d110751a6fdcc2462a338a4/Critical-Thinking-Attitudes-Skills-and-Ambiguity	1	1	0	0		0		
12	C Rominger, D Memmert, I Papousek…	Female and male soccer players recruited different cognitive processes when generating creative soccer moves	2020	Psychology of Sport and …	Elsevier	… Most participants were right-handed (n = 29); one woman and one man were left-handed. Participants were actively playing soccer for M = 12.87 years (SD = 3.77, min = 4, max = 20). …	https://www.sciencedirect.com/science/article/pii/S1469029220300558	https://scholar.google.com/scholar?cites=12588877484789529557&as_sdt=2005&sciodt=2007&hl=en	287	2023-05-23 11:33:52	HTML								12	4	3	4	3	https://www.sciencedirect.com/science/article/pii/S1469029220300558	1	1	0	0		0		
12	RC Johnson	Study of the relationship between cognitive styles of creativity and personality types of military leaders	2003		search.proquest.com	… An analogy would be if you were right or left-handed. Although most of us use both hands, we usually reach for something with a particular hand. Likewise, a person is presumed to use …	https://search.proquest.com/openview/d09b8b272a823e11e048aab4295d23e9/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=8633124153000658955&as_sdt=2005&sciodt=2007&hl=en	291	2023-05-23 11:33:52	BOOK								12	0.6	12	1	20	https://search.proquest.com/openview/d09b8b272a823e11e048aab4295d23e9/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
13	A Gallicchio	THE EFFECTS OF BRAINSTORMING IN SMALL-GROUP MATHEMATICS CLASSES.	1976		search.proquest.com	… of the items were taken from the Buckeye and Evans tests, while the remaining four items were devised by Mainville, so that they were similar to items appearing on the Torrance Tests …	https://search.proquest.com/openview/c1674ea3d5e1ecd682425101e9c3443b/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=17022926934558270978&as_sdt=2005&sciodt=2007&hl=en	293	2023-05-23 11:33:52	BOOK								13	0.28	13	1	47	https://search.proquest.com/openview/c1674ea3d5e1ecd682425101e9c3443b/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0	0		0		
1	T Xia, Y Sun, Y An, L Li	The influence of music environment on conceptual design creativity	2023	Frontiers in Psychology	ncbi.nlm.nih.gov	Methods Participants were 57 design major students who were randomly assigned to one of three groups, with 19 students in each group: no music, pure music, and music with …	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9946974/	https://scholar.google.com/scholar?cites=2137386122894711725&as_sdt=2005&sciodt=2007&hl=en	295	2023-05-23 11:33:52	HTML								1	1	0	4	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9946974/	1	1	0	0		0		
5	MA Musa, HO Saliu	Gender and Academic Performance in Architectural Education: A case study of Ahmadu Bello University Zaria from 2011/2012 to 2014/2015 Sessions	2016	International Journal of Architecture and …	researchgate.net	There has been so much controversy as to whether gender affects academic performance of architecture students or not. This study is aimed at investigating gender performance in …	https://www.researchgate.net/profile/Muhammad-Musa-2/publication/323345014_GENDER_AND_ACADEMIC_PERFORMANCE_IN_ARCHITECTURAL_EDUCATION_A_CASE_STUDY_OF_AHMADU_BELLO_UNIVERSITY_ZARIA_FROM_20112012_TO_20142015_SESSIONS/links/5a8efd8545851535bcd37609/GENDER-AND-ACADEMIC-PERFORMANCE-IN-ARCHITECTURAL-EDUCATION-A-CASE-STUDY-OF-AHMADU-BELLO-UNIVERSITY-ZARIA-FROM-2011-2012-TO-2014-2015-SESSIONS.pdf	https://scholar.google.com/scholar?cites=13802947837680563761&as_sdt=2005&sciodt=2007&hl=en	296	2023-05-23 11:33:52	PDF								5	0.71	3	2	7	https://www.researchgate.net/profile/Muhammad-Musa-2/publication/323345014_GENDER_AND_ACADEMIC_PERFORMANCE_IN_ARCHITECTURAL_EDUCATION_A_CASE_STUDY_OF_AHMADU_BELLO_UNIVERSITY_ZARIA_FROM_20112012_TO_20142015_SESSIONS/links/5a8efd8545851535bcd37609/GENDER-AND-ACADEMIC-PERFORMANCE-IN-ARCHITECTURAL-EDUCATION-A-CASE-STUDY-OF-AHMADU-BELLO-UNIVERSITY-ZARIA-FROM-2011-2012-TO-2014-2015-SESSIONS.pdf	1	1	0	0		0		
80	L Giromini, P Porcelli, DJ Viglione, L Parolin…	The feeling of movement: EEG evidence for mirroring activity during the observations of static, ambiguous stimuli in the Rorschach cards	2010	Biological …	Elsevier	The mirror neuron system (MNS) is considered the best explanation for the neural basis of embodied simulation. To date no study has investigated if it may be activated not only by …	https://www.sciencedirect.com/science/article/pii/S0301051110001894	https://scholar.google.com/scholar?cites=15134798564318820758&as_sdt=2005&sciodt=2007&hl=en	297	2023-05-23 11:33:52	HTML								80	6.15	16	5	13	https://www.sciencedirect.com/science/article/pii/S0301051110001894	1	1	0	0		0		
1	R Jończyk, DS Dickson, TS Bel-Bahar, GE Kremer…	How stereotype threat affects the brain dynamics of creative thinking in female students	2022	Neuropsychologia	Elsevier	When people are placed in a situation where they are at risk of substantiating a negative stereotype about their social group (a scenario termed stereotype threat), the extra pressure to …	https://www.sciencedirect.com/science/article/pii/S0028393222001658	https://scholar.google.com/scholar?cites=15695757256460506566&as_sdt=2005&sciodt=2007&hl=en	299	2023-05-23 11:33:52	HTML								1	1	0	5	1	https://www.sciencedirect.com/science/article/pii/S0028393222001658	1	1	0	0		0		
1	B Mirucka, M Kisielewska	The impact of experimental manipulation of body schema on creative potential in mid-adolescence	2020	Polish Psychological Bulletin	bibliotekanauki.pl	The study explored the impact of experimental manipulation of body schema on creative potential in mid-adolescence. The experiment was conducted in a group of 140 adolescents at …	https://bibliotekanauki.pl/articles/2128996.pdf	https://scholar.google.com/scholar?cites=17730041365759457675&as_sdt=2005&sciodt=2007&hl=en	300	2023-05-23 11:33:52	PDF								1	0.33	1	2	3	https://bibliotekanauki.pl/articles/2128996.pdf	1	1	0	0		0		
56	RL Bangs	An application of Amabile's model of creativity to music instruction: A comparison of motivational strategies	1992		search.proquest.com	… The relationship of handedness to creativity has had less … emphasized creative thinking and the Torrance Tests of … correlates the results with the Torrance Tests of Creative Thinking. In …	https://search.proquest.com/openview/eaa527715c010d416f61320706db31b1/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=885437099180483925&as_sdt=2005&sciodt=2007&hl=en	138	2023-05-23 11:33:52	BOOK								56	1.81	56	1	31	https://search.proquest.com/openview/eaa527715c010d416f61320706db31b1/1?pq-origsite=gscholar&cbl=18750&diss=y	0	1	0	0		0		
3	DD TONG, WF LI, P LU, WJ YANG…	The neural basis of scientific innovation problem finding	2020	Acta Psychologica …	journal.psych.ac.cn	Abstract: Creative thinking, which refers to the process by which individuals produce a unique, valuable product based on existing knowledge, experience, and multi-perspective …	https://journal.psych.ac.cn/acps/EN/10.3724/SP.J.1041.2020.01253	https://scholar.google.com/scholar?cites=9613900375316856173&as_sdt=2005&sciodt=2007&hl=en	207	2023-05-23 11:33:52		10.3724/SP.J.1041.2020.01253							3	1	1	5	3	https://journal.psych.ac.cn/acps/EN/article/downloadArticleFile.do?attachType=PDF&id=4825	0	1	0	0		0		
0	E Shobe	Now the Left Brain Knows what the Right Brain is Doing: The Effects of Bilateral Eye-Movements and Handedness on a Creative Measure Nicholas M. Ross The …		stockton.edu		… weak-handers will be more creative than strong-handers. Results … handedness had significant effects on creativity, such that weak-handers significantly outperformed strong-handers on …	https://www.stockton.edu/social-behavioral-sciences/documents/psyc_distinction_projects/ross.pdf		30	2023-05-23 11:33:52	PDF								0	0	0	1		https://www.stockton.edu/social-behavioral-sciences/documents/psyc_distinction_projects/ross.pdf	1	1	0			0	Already included (AUT); no TTCT	
84	K Denny, V O'Sullivan	The economic consequences of being left-handed some sinister results	2007	Journal of human resources	jhr.uwpress.org	… handedness on earnings. Augmenting a conventional earnings equation with an indicator of left-handedness … These results are inconsistent with the view that left-handers in general are …	http://jhr.uwpress.org/content/XLII/2/353.short	https://scholar.google.com/scholar?cites=9085493798689547012&as_sdt=2005&sciodt=2007&hl=en	31	2023-05-23 11:33:52									84	5.25	42	2	16	http://jhr.uwpress.org/content/XLII/2/353.full.pdf	1	1	0			0		
10	A KHAMSEH	Creative processes in female and male college students	2006		sid.ir	… found between the total score of creativity and its four subscales and of handedness. Again, significant difference was not found between the mean score of similarities and handedness. …	https://www.sid.ir/EN/VEWSSID/J_pdf/96120060903.pdf	https://scholar.google.com/scholar?cites=7621414059718323704&as_sdt=2005&sciodt=2007&hl=en	63	2023-05-23 11:33:52	PDF								10	0.59	10	1	17	https://www.sid.ir/EN/VEWSSID/J_pdf/96120060903.pdf	1	1	0			0	3K righties, 3018 lefties were given a multiple choice "creativity test". Each group scored a total mean of 2.22, wiht no sig differences on subscores (fluency, originality).	
193	S Acar, MA Runco	Assessing associative distance among ideas elicited by tests of divergent thinking	2014	Creativity Research Journal	Taylor &Francis	… This idea of optimal originality explains why responses to the items in the Torrance Tests of Creative Thinking (TTCT) are first evaluated in terms of relevancy and only relevant ideas are …	https://www.tandfonline.com/doi/abs/10.1080/10400419.2014.901095	https://scholar.google.com/scholar?cites=15005158430679680464&as_sdt=2005&sciodt=2007&hl=en	73	2023-05-23 11:33:52		10.1080/10400419.2014.901095							193	21.44	97	2	9	https://www.tandfonline.com/doi/pdf/10.1080/10400419.2014.901095	1	1	0			0		
0	L Gruber	The ETC as an Assessment Measure to Predict Handedness	2021		search.proquest.com	… However, left-handed individuals notice one another and share a common understanding of what it means to be left-handed. This study is meant to give left-handed individuals a voice …	https://search.proquest.com/openview/d59b0e356a899ca1d8fd1b9b01fd472b/1?pq-origsite=gscholar&cbl=18750&diss=y		88	2023-05-23 11:33:52	HTML								0	0	0	1	2	https://search.proquest.com/openview/d59b0e356a899ca1d8fd1b9b01fd472b/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0			0		
21	DT Morse, LW Morse, GA Johns	Do time press, stimulus, and creative prompt influence the divergent production of undergraduate students? Yes, yes, and no, not very much	2001	The Journal of Creative …	Wiley Online Library	This study examined the influence of time press, specific stimulus, and type of creativity prompt on fluency and flexibility scores of 75 undergraduates randomly assigned to condition. …	https://onlinelibrary.wiley.com/doi/abs/10.1002/j.2162-6057.2001.tb01224.x	https://scholar.google.com/scholar?cites=11720470484619646460&as_sdt=2005&sciodt=2007&hl=en	105	2023-05-23 11:33:52		10.1002/j.2162-6057.2001.tb01224.x							21	0.95	7	3	22	https://onlinelibrary.wiley.com/doi/pdf/10.1002/j.2162-6057.2001.tb01224.x	1	1	0			0		
4	MYS Fulbright	Cognitive style as indicated by self-report, physiological, and performance representations of hemisphericity	1980		search.proquest.com	… having a tendency to be right shift negative, or left handed and right brained, while left handers with no familial handedness are more likely to resemble right handers and be left brained…	https://search.proquest.com/openview/793ea7186b990be8c59feaa5fd32bd7d/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=13532038393023382981&as_sdt=2005&sciodt=2007&hl=en	110	2023-05-23 11:33:52	BOOK								4	0.09	4	1	43	https://search.proquest.com/openview/793ea7186b990be8c59feaa5fd32bd7d/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0			0		
2	IS Fischler, KM Heilman	Aging and Creativity	2019	Cognitive changes of the aging brain	books.google.com	… , as measured by several tests, including the Torrance Tests, and associative-convergent thinking, … The relationship of age, gender, handedness, and sidedness to the size of the corpus …	https://books.google.com/books?hl=en&lr=&id=HIHCDwAAQBAJ&oi=fnd&pg=PA188&dq=%22torrance+tests%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&ots=xYGh5erTjD&sig=a_Psg6l37Wv9bCywYkWpOUuTjVE	https://scholar.google.com/scholar?cites=4587694815788707500&as_sdt=2005&sciodt=2007&hl=en	119	2023-05-23 11:33:52									2	0.5	1	2	4		1	1	0			0		
1	J Qiu, J Liu	Correspondence Author	2014		researchgate.net	… The CAP included a divergent thinking test (similar to the figural Torrance Tests of … on handedness and all reported no history of neurological deficits. Excluding non-right-handedness …	https://www.researchgate.net/profile/Xiang-Zhen-Kong/publication/260609513_Brain_Structure_Links_Trait_Creativity_to_Openness_to_Experience/links/0c9605325417ee48b2000000/Brain-Structure-Links-Trait-Creativity-to-Openness-to-Experience.pdf	https://scholar.google.com/scholar?cites=1763810252157593593&as_sdt=2005&sciodt=2007&hl=en	120	2023-05-23 11:33:52	PDF								1	0.11	1	2	9	https://www.researchgate.net/profile/Xiang-Zhen-Kong/publication/260609513_Brain_Structure_Links_Trait_Creativity_to_Openness_to_Experience/links/0c9605325417ee48b2000000/Brain-Structure-Links-Trait-Creativity-to-Openness-to-Experience.pdf	1	1	0			0		
32	A Rojo	The role of creativity	2017	The handbook of translation and cognition	Wiley Online Library	… ‐handedness or left‐handedness … left‐handed participants. For the analysis of figurative activities, no differences were found either between translation and interpreting, but left‐handed …	https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119241485.ch19	https://scholar.google.com/scholar?cites=5015609828261012075&as_sdt=2005&sciodt=2007&hl=en	126	2023-05-23 11:33:52		10.1002/9781119241485.ch19							32	5.33	32	1	6		1	1	0			0		
0	W Liu, A Dempo, T Kimura, T Kawashima…	Effects of the presence of a cell phone and exposure to natural environments on remote associates task performance	2022	Scientific Reports	nature.com	… Related studies 18,19 have found that those who performed better on a creative task 20,21 (eg, Wallach–Kogan creativity tasks and Torrance Tests of Creative Thinking) showed poorer …	https://www.nature.com/articles/s41598-022-13634-y		128	2023-05-23 11:33:52	HTML								0	0	0	5	1	https://www.nature.com/articles/s41598-022-13634-y	1	1	0			0	Rat, not TTCT - 4 lefties but no relevant stats	
168	TJ Snyder, J Gackenbach	Individual differences associated with lucid dreaming	1988	… mind, sleeping brain: Perspectives on lucid …	Springer	… This result, which is based on recordings of 16 lucid, 16 infrequently lucid, and 16 nonlucid dreamers, half of each sex and all prescreened for handedness, balance-related disorders, …	https://link.springer.com/chapter/10.1007/978-1-4757-0423-5_10	https://scholar.google.com/scholar?cites=5071290617609857011&as_sdt=2005&sciodt=2007&hl=en	132	2023-05-23 11:33:52		10.1007/978-1-4757-0423-5_10							168	4.8	84	2	35		1	1	0			0		
26	G Charness, D Grieco	Individual creativity, ex-ante goals and financial incentives	2013		escholarship.org	Creativity is a complex and multi-dimensional phenomenon that has hardly been considered byeconomists, despite a great deal of economic importance. This paper presents a series …	https://escholarship.org/uc/item/4mr6p1d5	https://scholar.google.com/scholar?cites=9189975192533990168&as_sdt=2005&sciodt=2007&hl=en	145	2023-05-23 11:33:52									26	2.6	13	2	10	https://escholarship.org/content/qt4mr6p1d5/qt4mr6p1d5.pdf	1	1	0			0		
12	CFP Ott	Predicting achievement in computer science through selected academic, cognitive, and demographic variables	1988		search.proquest.com	Purpose. This study was designed to identify selected student characteristics which correlate with achievement in a first course in computer science at the high school level and to …	https://search.proquest.com/openview/1fb739a853aa2e6142bd40ed25acdf8d/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=16071138533732795920&as_sdt=2005&sciodt=2007&hl=en	169	2023-05-23 11:33:52	BOOK								12	0.34	12	1	35	https://search.proquest.com/openview/1fb739a853aa2e6142bd40ed25acdf8d/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	0			0		
13	BS Folley	The cognitive neuroscience of creative thinking in the schizophrenia spectrum: individual differences, functional laterality and white matter connectivity	2006		ir.vanderbilt.edu	… A study of individual differences in creative thinking used a novel divergent thinking task to assess group differences in creativity and its relationship with handedness and schizotypy. …	https://ir.vanderbilt.edu/handle/1803/10501	https://scholar.google.com/scholar?cites=3322938593937017817&as_sdt=2005&sciodt=2007&hl=en	179	2023-05-23 11:33:52									13	0.76	13	1	17	https://ir.vanderbilt.edu/bitstream/handle/1803/10501/Bradley_S_Folley_Dissertation.pdf?sequence=1&isAllowed=y	1	1	0			0		
7	TH Fritz, MA Montgomery, E Busch…	Increasing divergent thinking capabilities with music-feedback exercise	2020	Frontiers in …	frontiersin.org	… The final sample was 62 participants of which 4 were left-handed, 18 were male and 44 were female, aged between 19 and 52 (M = 26.20, SD = 5.82). Professional musicians and …	https://www.frontiersin.org/articles/10.3389/fpsyg.2020.578979/full	https://scholar.google.com/scholar?cites=24406390573544612&as_sdt=2005&sciodt=2007&hl=en	190	2023-05-23 11:33:52	HTML	10.3389/fpsyg.2020.578979							7	2.33	2	4	3	https://www.frontiersin.org/articles/10.3389/fpsyg.2020.578979/full	1	1	0			0		
1	E Avinor	A Style of the Relationships among Multilingualism, Learning Style, and Cognition.	1993		ERIC	… Findings suggested that the left hemisphere in all right-handers and the majority of left-handers … The instruments employed in his studies were the Torrance Tests of Cognitive Thinking. …	https://eric.ed.gov/?id=ED363091	https://scholar.google.com/scholar?cites=3541513913893441851&as_sdt=2005&sciodt=2007&hl=en	192	2023-05-23 11:33:52									1	0.03	1	1	30	https://files.eric.ed.gov/fulltext/ED363091.pdf	1	1	0			0		
4	MT Spooner	Exploring the processes that lead young adults to channel their creativity in various fields and degrees of social acceptance: An interactionist grounded theory study	2006		ruor.uottawa.ca	The purpose of the present study was to better understand creativity and creative development as well as the many factors that contribute to the processes that lead young adults to …	https://ruor.uottawa.ca/handle/10393/29318	https://scholar.google.com/scholar?cites=5645134028923569904&as_sdt=2005&sciodt=2007&hl=en	195	2023-05-23 11:33:52									4	0.24	4	1	17	https://ruor.uottawa.ca/bitstream/10393/29318/1/NR15046.PDF	1	1	0			0		
