task,es_type,measure,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
TTCT(F),d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Flexibility,2,2,-0.673598378510472,-0.4014868297466791,-0.12937528098288625,0.003830078759064579,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Flexibility,2,2,-0.08814278819496404,0.049376229035931085,0.18689524626682621,0.48160377560203393,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Fluency,2,2,-0.5940743858491949,-0.32383193624772444,-0.05358948664625396,0.01884273122380094,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Fluency,2,2,-0.11170103826038186,0.026060962972818177,0.16382296420601822,0.7108059732119196,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Originality,2,2,-0.9848937525353594,-0.7019441957229107,-0.418994638910462,1.160301864080221e-6,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Originality,2,2,-0.09324513579172168,0.04432086739750875,0.1818868705867392,0.5277403870845441,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Flexibility,1,1,-0.9431908868371606,-0.1409272301646762,0.6613364265078081,0.7306273217709431,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Flexibility,2,2,-0.1267498419347147,0.01097298867684764,0.14869581928841,0.8759076756897215,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Fluency,1,1,-0.6277216949337902,0.17570837962262056,0.9791384541790312,0.6681853864069519,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Fluency,2,2,-0.14719295388849102,-0.009362321087070077,0.12846831171435086,0.8940881598840051,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Originality,1,1,-0.9443898907512887,-0.14209150772064907,0.6602068753099906,0.7285007727547247,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Originality,2,2,-0.13213063651383777,0.005629765503742414,0.1433901675213226,0.9361604394973573,".00 [NA, NA]",random,"All studies by task, measure, ES type",
